610,Detective Div. - Area 1,"830,651.56"
620,Detective Div. - Area 2,"628,438.97"
630,Detective Div. - Area 3,"711,310.86"
701,Public Transportation Section,"124,221.48"
702,CTA Security Unit,"2,049.94"
704,District Law Enforcement,"61,305.32"
711,Violence Reduction Unit - Central,363.70
720,Grants Section,"5,434.79"
,,
001,Traffic Section-Detail Unit,"589,890.52"
002,District Law Enforcement,"336,173.93"
003,District Law Enforcement,"127,764.28"
004,District Law Enforcement,"411,627.42"
005,District Law Enforcement,"551,625.57"
006,District Law Enforcement,"298,158.46"
007,District Law Enforcement,"508,103.94"
008,District Law Enforcement,"400,617.19"
009,District Law Enforcement,"493,411.99"
010,District Law Enforcement,"509,502.18"
Oil,Gang Investigation Division,"225,493.37"
012,Recruit Training,"371,356.44"
014,District Law Enforcement,"322,172.81"
015,District Law Enforcement,"495,404.99"
016,District Law Enforcement,"320,061.08"
017,District Law Enforcement,"275,486.35"
018,District Law Enforcement,"520,651.81"
019,Recruit Training,"372,775.60"
020,District Law Enforcement,"269,439.14"
022,District Law Enforcement,"305,425.83"
024,District Law Enforcement,"282,678.59"
025,District Law Enforcement,"417,110.07"
